iso_3166_2,iso_a2,name_ar,name_en
YE-AB,YE,محافظة أبين,Abyan Governorate
YE-AD,YE,محافظة عدن,Adan Governorate
YE-AM,YE,محافظة عمران,Amran Governorate
YE-BA,YE,محافظة البيضاء,Al Bayda' Governorate
YE-DA,YE,محافظة الضالع,Ad Dali' Governorate
YE-DH,YE,محافظة ذمار,Dhamar Governorate
YE-HD,YE,محافظة حضرموت,Hadhramaut Governorate
YE-HJ,YE,محافظة حجة,Hajjah Governorate
YE-HU,YE,محافظة الحديدة,Al Hudaydah Governorate
YE-IB,YE,محافظة إب,Ibb Governorate
YE-JA,YE,محافظة الجوف,Al Jawf Governorate
YE-LA,YE,محافظة لحج,Lahij Governorate
YE-MA,YE,محافظة مأرب,Ma'rib Governorate
YE-MR,YE,محافظة المهرة,Al Mahrah Governorate
YE-MW,YE,محافظة المحويت,Al Mahwit Governorate
YE-RA,YE,محافظة ريمة,Raymah Governorate
YE-SA,YE,صنعاء,Sana'a
YE-SD,YE,محافظة صعدة,Socotra Governorate
YE-SH,YE,محافظة شبوة,Shabwah Governorate
YE-SN,YE,محافظة صنعاء,Sana'a Governorate
YE-SU,YE,محافظة أرخبيل سقطرى,Saada Governorate
YE-TA,YE,محافظة تعز,Ta'izz Governorate
